Target,Lab,Cq,SQ
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetB,LabB,NA,0
TargetC,LabC,31.61,100
TargetC,LabC,31.97,100
TargetC,LabC,31.5,100
TargetC,LabC,31.89,100
TargetC,LabC,31.25,100
TargetC,LabC,31.33,100
TargetC,LabC,31.27,100
TargetC,LabC,31.83,100
TargetC,LabC,31.69,100
TargetC,LabC,32.29,100
TargetC,LabC,32.19,100
TargetC,LabC,32.24,100
TargetC,LabC,32.04,100
TargetC,LabC,32.47,100
TargetC,LabC,32.34,100
TargetC,LabC,32.41,100
TargetC,LabC,32.42,100
TargetC,LabC,32.39,100
TargetC,LabC,32,100
TargetC,LabC,31.97,100
TargetC,LabC,32.04,100
TargetC,LabC,32.2,100
TargetC,LabC,32.3,100
TargetC,LabC,32.36,100
TargetC,LabC,34.41,20
TargetC,LabC,33.42,20
TargetC,LabC,33.9,20
TargetC,LabC,33.63,20
TargetC,LabC,34.63,20
TargetC,LabC,34.09,20
TargetC,LabC,34.47,20
TargetC,LabC,34.59,20
TargetC,LabC,34.68,20
TargetC,LabC,35.07,20
TargetC,LabC,35.22,20
TargetC,LabC,34.81,20
TargetC,LabC,34.21,20
TargetC,LabC,34.52,20
TargetC,LabC,36.36,20
TargetC,LabC,35.7,20
TargetC,LabC,34.71,20
TargetC,LabC,34.49,20
TargetC,LabC,34.51,20
TargetC,LabC,35.34,20
TargetC,LabC,35.24,20
TargetC,LabC,35.58,20
TargetC,LabC,35.61,20
TargetC,LabC,34.75,20
TargetC,LabC,36.65,4
TargetC,LabC,36.44,4
TargetC,LabC,38.58,4
TargetC,LabC,37.04,4
TargetC,LabC,36.68,4
TargetC,LabC,35.44,4
TargetC,LabC,35.41,4
TargetC,LabC,36.38,4
TargetC,LabC,38,4
TargetC,LabC,35.99,4
TargetC,LabC,38.55,4
TargetC,LabC,37.01,4
TargetC,LabC,36.56,4
TargetC,LabC,NA,4
TargetC,LabC,37.09,4
TargetC,LabC,39.03,4
TargetC,LabC,NA,4
TargetC,LabC,37.44,4
TargetC,LabC,36.61,4
TargetC,LabC,38.29,4
TargetC,LabC,38.97,4
TargetC,LabC,38.74,4
TargetC,LabC,38.75,4
TargetC,LabC,39.15,4
TargetC,LabC,37.9,0.8
TargetC,LabC,37.83,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,,0.8
TargetC,LabC,36.63,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,40.11,0.8
TargetC,LabC,37.32,0.8
TargetC,LabC,38.28,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,36.04,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,39.18,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,39.64,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,38.97,0.8
TargetC,LabC,40.33,0.8
TargetC,LabC,NA,0.8
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,37.69,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,37.67,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,38.07,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,39.42,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,38.42,0.16
TargetC,LabC,38.2,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.16
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0.032
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetC,LabC,NA,0
TargetD,LabD,21.12,62500
TargetD,LabD,21.34,62500
TargetD,LabD,21.12,62500
TargetD,LabD,21.43,62500
TargetD,LabD,21.11,62500
TargetD,LabD,21.41,62500
TargetD,LabD,21.29,62500
TargetD,LabD,21.7,62500
TargetD,LabD,23.62,12500
TargetD,LabD,23.75,12500
TargetD,LabD,23.66,12500
TargetD,LabD,23.71,12500
TargetD,LabD,23.34,12500
TargetD,LabD,23.44,12500
TargetD,LabD,23.51,12500
TargetD,LabD,23.93,12500
TargetD,LabD,26.02,2500
TargetD,LabD,26.27,2500
TargetD,LabD,26.01,2500
TargetD,LabD,26.25,2500
TargetD,LabD,25.87,2500
TargetD,LabD,26.09,2500
TargetD,LabD,26.14,2500
TargetD,LabD,26.41,2500
TargetD,LabD,28.39,500
TargetD,LabD,28.65,500
TargetD,LabD,28.09,500
TargetD,LabD,28.64,500
TargetD,LabD,28.32,500
TargetD,LabD,28.5,500
TargetD,LabD,28.77,500
TargetD,LabD,29.12,500
TargetD,LabD,31.02,100
TargetD,LabD,30.86,100
TargetD,LabD,30.56,100
TargetD,LabD,30.73,100
TargetD,LabD,30.31,100
TargetD,LabD,30.92,100
TargetD,LabD,31.07,100
TargetD,LabD,31.47,100
TargetD,LabD,32.05,100
TargetD,LabD,32.17,100
TargetD,LabD,32.71,100
TargetD,LabD,32.57,100
TargetD,LabD,32.39,100
TargetD,LabD,32.05,100
TargetD,LabD,32.48,100
TargetD,LabD,32.89,100
TargetD,LabD,32.07,100
TargetD,LabD,32.54,100
TargetD,LabD,32.38,100
TargetD,LabD,32.33,100
TargetD,LabD,32.29,100
TargetD,LabD,32.02,100
TargetD,LabD,32.95,100
TargetD,LabD,32.34,100
TargetD,LabD,33.57,20
TargetD,LabD,33.51,20
TargetD,LabD,34.01,20
TargetD,LabD,33.32,20
TargetD,LabD,33.05,20
TargetD,LabD,33.1,20
TargetD,LabD,32.86,20
TargetD,LabD,33.09,20
TargetD,LabD,34.3,20
TargetD,LabD,34.32,20
TargetD,LabD,34.69,20
TargetD,LabD,33.61,20
TargetD,LabD,34.55,20
TargetD,LabD,34.04,20
TargetD,LabD,35.27,20
TargetD,LabD,33.44,20
TargetD,LabD,33.69,20
TargetD,LabD,34.48,20
TargetD,LabD,35.22,20
TargetD,LabD,33.96,20
TargetD,LabD,33.17,20
TargetD,LabD,33.33,20
TargetD,LabD,33.52,20
TargetD,LabD,34.02,20
TargetD,LabD,36.03,4
TargetD,LabD,36,4
TargetD,LabD,38.95,4
TargetD,LabD,38.4,4
TargetD,LabD,35,4
TargetD,LabD,37.59,4
TargetD,LabD,N/A,4
TargetD,LabD,N/A,4
TargetD,LabD,35.44,4
TargetD,LabD,36.46,4
TargetD,LabD,35.57,4
TargetD,LabD,36.27,4
TargetD,LabD,36.3,4
TargetD,LabD,36.94,4
TargetD,LabD,37.05,4
TargetD,LabD,N/A,4
